Time Gauge0 Gauge1 Gauge2 Gauge3 Gauge4 Gauge5
1.440000e+01 -8.090190e-03 -2.228298e-03 -5.208532e-03 1.464347e-02 1.931487e-02 2.224913e-02
1.460000e+01 -4.662735e-03 -2.257630e-03 -5.235753e-03 1.404229e-02 1.916422e-02 2.227925e-02
1.480000e+01 5.000366e-03 -2.223155e-03 -5.165896e-03 1.339220e-02 1.885659e-02 2.216185e-02
1.500000e+01 8.211651e-03 2.035186e-03 1.058411e-03 1.266945e-02 1.833831e-02 2.185623e-02
1.520000e+01 9.732426e-03 8.574260e-03 8.758024e-03 1.187310e-02 1.762558e-02 2.137732e-02
1.540000e+01 1.124444e-02 1.138298e-02 1.277996e-02 1.101398e-02 1.677365e-02 2.072226e-02
1.560000e+01 1.274001e-02 1.316801e-02 1.642202e-02 1.010800e-02 1.584200e-02 1.991200e-02
1.580000e+01 1.397125e-02 1.429255e-02 1.940504e-02 9.145122e-03 1.486212e-02 1.899386e-02
1.600000e+01 1.482700e-02 1.497223e-02 2.159103e-02 8.082205e-03 1.383612e-02 1.799150e-02
1.620000e+01 1.542122e-02 1.556901e-02 2.349069e-02 6.916979e-03 1.272737e-02 1.691877e-02
1.640000e+01 1.586167e-02 1.621516e-02 2.732605e-02 5.714543e-03 1.152723e-02 1.579468e-02
1.660000e+01 1.612498e-02 1.713675e-02 3.002273e-02 4.551836e-03 1.025071e-02 1.463542e-02
1.680000e+01 1.617803e-02 1.951824e-02 3.432187e-02 3.487123e-03 8.937268e-03 1.344288e-02
1.700000e+01 1.596266e-02 3.501763e-02 4.172546e-02 2.554831e-03 7.620099e-03 1.226008e-02
1.720000e+01 1.543702e-02 3.867987e-02 4.338342e-02 1.747706e-03 6.334883e-03 1.108880e-02
1.740000e+01 1.582949e-02 3.645732e-02 4.279150e-02 1.046454e-03 5.067590e-03 9.948977e-03
1.760000e+01 2.266840e-02 3.465293e-02 4.034485e-02 3.847306e-04 3.774844e-03 8.861983e-03
1.780000e+01 3.117262e-02 3.339346e-02 3.756048e-02 -3.279939e-04 2.463344e-03 7.830675e-03
1.800000e+01 3.075586e-02 3.235694e-02 3.519385e-02 -1.159898e-03 1.187759e-03 6.779924e-03
1.820000e+01 3.295793e-02 3.105925e-02 3.287490e-02 -2.086436e-03 -1.053927e-05 5.712856e-03
1.840000e+01 3.534420e-02 2.944955e-02 3.046792e-02 -3.057786e-03 -1.112913e-03 4.617438e-03
1.860000e+01 3.563744e-02 2.773607e-02 2.844279e-02 -4.059283e-03 -2.133515e-03 3.430595e-03
1.880000e+01 3.486389e-02 2.615471e-02 2.670422e-02 -5.093375e-03 -3.078670e-03 2.037923e-03
1.900000e+01 3.340747e-02 2.722825e-02 2.510440e-02 -6.126521e-03 -3.962926e-03 8.021652e-04
1.920000e+01 3.152522e-02 2.962798e-02 2.351997e-02 -7.130072e-03 -4.820829e-03 4.551484e-03
1.940000e+01 2.933355e-02 2.827420e-02 2.176238e-02 -8.126110e-03 -5.680513e-03 6.625462e-03
1.960000e+01 2.707328e-02 2.558337e-02 1.994716e-02 -9.109367e-03 -6.486878e-03 4.357971e-03
1.980000e+01 2.539072e-02 2.348563e-02 1.905984e-02 -1.003189e-02 -7.465083e-03 1.601707e-03
2.000000e+01 2.545808e-02 2.175435e-02 1.868219e-02 -1.086142e-02 -8.903498e-03 -1.191611e-03
2.020000e+01 2.497629e-02 2.018597e-02 1.786506e-02 -1.158755e-02 -5.080469e-03 -3.679959e-03
2.040000e+01 2.358308e-02 1.845172e-02 1.658174e-02 -1.217168e-02 -8.493478e-04 -5.288222e-03
2.060000e+01 2.207520e-02 1.692055e-02 1.526750e-02 -1.285423e-02 -2.116002e-03 -5.744251e-03
2.080000e+01 2.078551e-02 1.623734e-02 1.417817e-02 -1.418763e-02 -4.536451e-03 -6.556951e-03
2.100000e+01 1.959401e-02 1.638404e-02 1.335957e-02 -9.758129e-03 -6.360513e-03 -7.638396e-03
2.120000e+01 1.849284e-02 1.657696e-02 1.283851e-02 -5.604769e-03 -6.839886e-03 -8.610256e-03
2.140000e+01 1.745735e-02 1.639520e-02 1.245973e-02 -6.774743e-03 -6.751451e-03 -8.247378e-03
2.160000e+01 1.644565e-02 1.608252e-02 1.206304e-02 -8.022918e-03 -6.780228e-03 -8.265904e-03
2.180000e+01 1.517048e-02 1.542273e-02 1.199053e-02 -8.257784e-03 -4.136207e-03 -9.038289e-03
2.200000e+01 1.352078e-02 1.414559e-02 1.199476e-02 -6.357378e-03 -3.599111e-03 -9.938111e-03
2.220000e+01 1.177594e-02 1.278272e-02 1.145070e-02 -2.589497e-03 -4.727238e-03 -1.066273e-02
2.240000e+01 1.008530e-02 1.150967e-02 1.047820e-02 4.365591e-03 -5.757121e-03 -1.145093e-02
2.260000e+01 8.509864e-03 1.033583e-02 9.200266e-03 6.758592e-03 -7.267297e-03 -1.279497e-02
2.280000e+01 7.047330e-03 9.254281e-03 7.795864e-03 4.882155e-03 -8.796670e-03 -1.426248e-02
2.300000e+01 5.665357e-03 8.236414e-03 6.436649e-03 3.134553e-03 -1.009046e-02 -1.576310e-02
2.320000e+01 4.346781e-03 7.270312e-03 5.158052e-03 3.060988e-03 -1.092326e-02 -1.729230e-02
2.340000e+01 3.082992e-03 6.376904e-03 3.943262e-03 2.850345e-03 -1.003415e-02 -1.891736e-02
2.360000e+01 1.858002e-03 5.553655e-03 2.854829e-03 1.705391e-03 -6.485506e-03 -2.062558e-02
2.380000e+01 6.666499e-04 4.798288e-03 1.908977e-03 -1.029552e-03 -5.617834e-03 -2.233876e-02
2.400000e+01 -4.887240e-04 4.114754e-03 1.028751e-03 -4.973574e-03 -6.172425e-03 -2.409379e-02
2.420000e+01 -1.624173e-03 3.496401e-03 1.871513e-04 -6.924398e-03 -6.930186e-03 -2.591485e-02
2.440000e+01 -2.755876e-03 2.933028e-03 -6.015612e-04 -7.929671e-03 -7.290808e-03 -2.770957e-02
2.460000e+01 -3.853469e-03 2.395150e-03 -1.359928e-03 -7.764229e-03 -7.907775e-03 -2.955870e-02
2.480000e+01 -4.893701e-03 1.867808e-03 -2.090659e-03 -6.969207e-03 -9.373986e-03 -3.135036e-02
2.500000e+01 -5.862177e-03 1.371988e-03 -2.754323e-03 -5.024942e-03 -1.160991e-02 -3.247553e-02
2.520000e+01 -6.742228e-03 9.249971e-04 -3.284336e-03 -2.634985e-03 -1.395357e-02 -2.911963e-02
2.540000e+01 -7.524220e-03 5.183238e-04 -3.684423e-03 -1.240299e-03 -1.513718e-02 -2.473706e-02
2.560000e+01 -8.156065e-03 1.370195e-04 -3.992924e-03 -1.505536e-03 -1.457359e-02 -2.179835e-02
2.580000e+01 -8.671679e-03 -2.229214e-04 -4.218299e-03 -3.219799e-03 -1.205798e-02 -1.950498e-02
