# time_s gauge_0_train_simulated gauge_0_train_observed gauge_1_train_simulated gauge_1_train_observed gauge_2_test_simulated gauge_2_test_observed
1.3000000000e+01 -9.0689711708e-03 -7.9600000000e-03 -1.8192552735e-03 -4.6500000000e-03 -4.8785308685e-03 -2.0500000000e-03
1.3200000000e+01 -9.5762205481e-03 -8.3600000000e-03 -1.8755767744e-03 -4.8500000000e-03 -5.0016507816e-03 -2.1500000000e-03
1.3400000000e+01 -9.9954079314e-03 -8.5600000000e-03 -1.9470332884e-03 -4.9500000000e-03 -5.0837684634e-03 -2.3500000000e-03
1.3600000000e+01 -1.0339558161e-02 -8.8600000000e-03 -2.0237843830e-03 -5.2500000000e-03 -5.1361831603e-03 -2.3500000000e-03
1.3800000000e+01 -1.0618417599e-02 -8.9600000000e-03 -2.0963997731e-03 -5.5500000000e-03 -5.1733236082e-03 -2.4500000000e-03
1.4000000000e+01 -1.0885473930e-02 -8.9600000000e-03 -2.1595142068e-03 -6.0500000000e-03 -5.2009527211e-03 -2.4500000000e-03
1.4200000000e+01 -7.2636541238e-03 -8.8600000000e-03 -2.2148030893e-03 -6.9500000000e-03 -5.2222815470e-03 -2.4500000000e-03
1.4400000000e+01 2.8505458048e-04 4.7400000000e-03 -1.9154175767e-03 -7.2500000000e-03 -5.2403678145e-03 -2.5500000000e-03
1.4600000000e+01 3.7909667664e-03 5.0400000000e-03 1.6497514464e-03 4.5000000000e-04 -4.0979041628e-03 -2.5500000000e-03
1.4800000000e+01 6.0751493824e-03 5.7400000000e-03 4.2075214526e-03 4.8500000000e-03 3.5863307813e-03 3.6500000000e-03
1.5000000000e+01 8.2782897195e-03 6.8400000000e-03 6.2483659026e-03 8.0500000000e-03 8.7761877118e-03 7.8500000000e-03
1.5200000000e+01 1.0089503375e-02 8.5400000000e-03 8.3138013693e-03 1.1850000000e-02 1.1999735907e-02 9.6500000000e-03
1.5400000000e+01 1.1529061007e-02 9.3400000000e-03 1.0082974046e-02 1.3350000000e-02 1.4890356420e-02 1.0650000000e-02
1.5600000000e+01 1.2527362973e-02 1.0940000000e-02 1.1839207343e-02 1.4250000000e-02 1.7422198912e-02 1.2450000000e-02
1.5800000000e+01 1.3190933685e-02 1.2340000000e-02 1.3367383420e-02 1.6150000000e-02 1.9446271784e-02 1.4350000000e-02
1.6000000000e+01 1.3571545451e-02 1.2340000000e-02 1.4289806643e-02 1.7550000000e-02 2.2323289809e-02 1.6450000000e-02
1.6200000000e+01 1.3802644000e-02 1.2540000000e-02 1.4844926790e-02 1.8050000000e-02 2.6449163234e-02 1.9350000000e-02
1.6400000000e+01 1.4005613324e-02 1.2640000000e-02 1.5603231551e-02 1.8150000000e-02 2.8594697006e-02 2.5350000000e-02
1.6600000000e+01 1.4227065354e-02 1.2940000000e-02 1.6389655621e-02 1.8250000000e-02 3.1654765810e-02 2.6850000000e-02
1.6800000000e+01 1.4284173485e-02 1.3040000000e-02 2.6232671736e-02 1.9650000000e-02 3.8296026262e-02 4.1850000000e-02
1.7000000000e+01 1.4021734581e-02 1.3040000000e-02 3.6670826405e-02 3.8950000000e-02 4.1877910953e-02 3.4350000000e-02
1.7200000000e+01 1.3745180607e-02 1.3040000000e-02 3.5673706828e-02 3.2350000000e-02 4.2609333523e-02 3.6850000000e-02
1.7400000000e+01 1.5563577264e-02 1.9640000000e-02 3.4127495944e-02 3.3250000000e-02 4.0294878397e-02 3.5850000000e-02
1.7600000000e+01 2.6836009048e-02 3.1140000000e-02 3.3169518718e-02 3.2750000000e-02 3.7449220263e-02 3.8150000000e-02
1.7800000000e+01 2.9548024197e-02 2.9140000000e-02 3.1942446811e-02 3.2650000000e-02 3.5328565050e-02 3.1650000000e-02
1.8000000000e+01 2.8456079715e-02 2.6940000000e-02 3.0354204511e-02 2.7550000000e-02 3.3377139843e-02 3.0350000000e-02
1.8200000000e+01 3.0991205847e-02 3.2140000000e-02 2.8871902547e-02 2.4650000000e-02 3.1178455212e-02 2.6550000000e-02
1.8400000000e+01 3.2711110586e-02 3.6140000000e-02 2.7486301953e-02 2.4450000000e-02 2.9089218886e-02 2.4450000000e-02
1.8600000000e+01 3.2149813361e-02 2.8840000000e-02 2.5776213072e-02 2.2650000000e-02 2.7066850825e-02 2.1050000000e-02
1.8800000000e+01 3.1111586233e-02 3.3140000000e-02 2.3708343414e-02 2.2350000000e-02 2.5332594473e-02 1.9250000000e-02
1.9000000000e+01 3.0189084236e-02 3.0340000000e-02 2.1503568422e-02 2.9250000000e-02 2.3613420195e-02 1.8250000000e-02
