# epoch total_loss train_loss test_loss first_derivative second_derivative amplitude gradient_norm learning_rate elapsed_seconds
8.4000000000e+01 8.6573866336e-06 8.6569912710e-06 5.8141127478e-06 2.9812230405e-07 6.4793229368e-09 3.2447064925e-05 4.2069972704e-06 2.0000000000e-02 8.3608822372e+01
8.5000000000e+01 8.6248000360e-06 8.6244047862e-06 5.8158355413e-06 2.9818449144e-07 6.4588629139e-09 3.2476658809e-05 4.2246372273e-06 2.0000000000e-02 8.4693280379e+01
8.6000000000e+01 8.5932661637e-06 8.5928710487e-06 5.8169586963e-06 2.9824016469e-07 6.4371084062e-09 3.2503748386e-05 4.0927675025e-06 2.0000000000e-02 8.4257956899e+01
8.7000000000e+01 8.5628852548e-06 8.5624902876e-06 5.8178590772e-06 2.9829439821e-07 6.4143870978e-09 3.2528956763e-05 3.9688069063e-06 2.0000000000e-02 8.3581377259e+01
8.8000000000e+01 8.5337530157e-06 8.5333582040e-06 5.8190855268e-06 2.9835026660e-07 6.3908507924e-09 3.2552965720e-05 3.8964695162e-06 2.0000000000e-02 8.3998645615e+01
8.9000000000e+01 8.5053713699e-06 8.5049767151e-06 5.8205225699e-06 2.9841175856e-07 6.3666730172e-09 3.2576260850e-05 3.8337255412e-06 2.0000000000e-02 8.3982904588e+01
9.0000000000e+01 8.4781223921e-06 8.4777278924e-06 5.8220301714e-06 2.9848156859e-07 6.3418844891e-09 3.2599346166e-05 3.7888193591e-06 2.0000000000e-02 8.4072346969e+01
9.1000000000e+01 8.4518917846e-06 8.4514974327e-06 5.8240602170e-06 2.9856362236e-07 6.3165576790e-09 3.2622665105e-05 3.7002534636e-06 2.0000000000e-02 8.3925741957e+01
9.2000000000e+01 8.4266763386e-06 8.4262821229e-06 5.8270650049e-06 2.9866136653e-07 6.2907503262e-09 3.2646900088e-05 3.6824101713e-06 2.0000000000e-02 8.3754681053e+01
9.3000000000e+01 8.4023519263e-06 8.4019578314e-06 5.8303551350e-06 2.9877742080e-07 6.2645247534e-09 3.2672208718e-05 3.6496976851e-06 2.0000000000e-02 8.4650776586e+01
9.4000000000e+01 8.3786691245e-06 8.3782751289e-06 5.8348256896e-06 2.9891630268e-07 6.2380689448e-09 3.2698647477e-05 3.6555608692e-06 2.0000000000e-02 8.3510176565e+01
9.5000000000e+01 8.3558368341e-06 8.3554429125e-06 5.8405017978e-06 2.9907981456e-07 6.2115092322e-09 3.2726746859e-05 3.6053127679e-06 2.0000000000e-02 8.3853144282e+01
9.6000000000e+01 8.3336596713e-06 8.3332657935e-06 5.8468937484e-06 2.9927130671e-07 6.1850176750e-09 3.2756286542e-05 3.5722022644e-06 2.0000000000e-02 8.3392080871e+01
9.7000000000e+01 8.3120789664e-06 8.3116850974e-06 5.8535582134e-06 2.9949398730e-07 6.1587713046e-09 3.2787270334e-05 3.5574125591e-06 2.0000000000e-02 8.4616360591e+01
9.8000000000e+01 8.2910949445e-06 8.2907010467e-06 5.8608458856e-06 2.9974871501e-07 6.1328783585e-09 3.2820225014e-05 3.5523302421e-06 2.0000000000e-02 8.3697128088e+01
