# epoch total_loss train_loss test_loss first_derivative second_derivative amplitude gradient_norm learning_rate elapsed_seconds
4.5000000000e+01 7.2166502077e-06 7.2162730450e-06 6.1930792180e-06 2.8130006331e-07 5.9225220236e-09 3.6637435637e-05 1.4822562709e-05 2.0000000000e-02 8.4281516923e+01
4.6000000000e+01 6.9079359792e-06 6.9075550036e-06 5.8355308746e-06 2.8483645178e-07 5.9007627903e-09 3.7131462934e-05 1.4105269198e-05 2.0000000000e-02 8.3331818728e+01
4.7000000000e+01 6.6172487253e-06 6.6168643742e-06 5.5090990796e-06 2.8800028421e-07 5.8772769086e-09 3.7577998327e-05 1.3471692491e-05 2.0000000000e-02 8.3541658703e+01
4.8000000000e+01 6.3420031729e-06 6.3416158800e-06 5.2075954124e-06 2.9079799517e-07 5.8516743546e-09 3.7978107547e-05 1.2874864343e-05 2.0000000000e-02 8.3829784503e+01
4.9000000000e+01 6.0806105171e-06 6.0802207224e-06 4.9273027140e-06 2.9322892502e-07 5.8232383222e-09 3.8333355634e-05 1.2341067319e-05 2.0000000000e-02 8.3937475704e+01
5.0000000000e+01 5.8298058603e-06 5.8294139926e-06 4.6646483009e-06 2.9530563909e-07 5.7916433520e-09 3.8645632117e-05 1.1854743675e-05 2.0000000000e-02 8.3593349487e+01
5.1000000000e+01 5.5875271272e-06 5.5871335873e-06 4.4172161774e-06 2.9705266936e-07 5.7569555506e-09 3.8917605779e-05 1.1442843407e-05 2.0000000000e-02 8.4179030368e+01
5.2000000000e+01 5.3539569418e-06 5.3535620963e-06 4.1842582135e-06 2.9849954884e-07 5.7193852845e-09 3.9152177963e-05 1.1026077370e-05 2.0000000000e-02 8.3304665809e+01
5.3000000000e+01 5.1283131366e-06 5.1279173191e-06 3.9632553016e-06 2.9967240908e-07 5.6792273809e-09 3.9352806339e-05 1.0638311951e-05 2.0000000000e-02 8.3154704517e+01
5.4000000000e+01 4.9098729220e-06 4.9094764098e-06 3.7546772961e-06 3.0061568118e-07 5.6373094592e-09 3.9523385571e-05 1.0268203521e-05 2.0000000000e-02 8.2877313636e+01
5.5000000000e+01 4.6990479129e-06 4.6986509344e-06 3.5574995892e-06 3.0136865591e-07 5.5942793916e-09 3.9667087716e-05 9.9764621064e-06 2.0000000000e-02 8.2437053330e+01
5.6000000000e+01 4.4947262837e-06 4.4943290233e-06 3.3715728700e-06 3.0196595686e-07 5.5507580990e-09 3.9786856716e-05 9.6604736665e-06 2.0000000000e-02 8.2648482723e+01
5.7000000000e+01 4.2976554807e-06 4.2972580809e-06 3.1961783132e-06 3.0244004957e-07 5.5073989660e-09 3.9885775968e-05 9.3255909841e-06 2.0000000000e-02 8.2508011799e+01
5.8000000000e+01 4.1094224612e-06 4.1090250160e-06 3.0322406678e-06 3.0282717792e-07 5.4651085648e-09 3.9966880566e-05 8.9807587464e-06 2.0000000000e-02 8.2204176914e+01
5.9000000000e+01 3.9301225400e-06 3.9297250940e-06 2.8807908952e-06 3.0316522470e-07 5.4248166880e-09 4.0032663780e-05 8.6603100513e-06 2.0000000000e-02 8.2225991478e+01
6.0000000000e+01 3.7595994013e-06 3.7592019553e-06 2.7406238454e-06 3.0348772014e-07 5.3872875395e-09 4.0085398387e-05 8.4339063715e-06 2.0000000000e-02 8.2061968219e+01
6.1000000000e+01 3.5965806504e-06 3.5961831773e-06 2.6096984513e-06 3.0381579758e-07 5.3530611043e-09 4.0126666204e-05 8.2280602316e-06 2.0000000000e-02 8.2026001286e+01
6.2000000000e+01 3.4407568010e-06 3.4403592616e-06 2.4868828757e-06 3.0415795935e-07 5.3223636223e-09 4.0157768307e-05 8.0549744904e-06 2.0000000000e-02 8.1785502973e+01
